種牡馬名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,2歳,3歳,4歳,5歳以上,距離短縮,距離延長
ゴールドシップ,-664,-658,437,-1465,-19,298,-185,-1154,-36,-155,327,1009,-1165,-895,-139,584,-95,-215,-79,-626,-593,-923,-359,469,-1112,-890,796,-774,-697,-1152
ゴールドドリーム,51,-1839,,-2809,534,,-1656,-277,236,-472,-1502,-824,-970,-677,-46,388,714,600,472,-2969,155,-1742,-231,-236,-629,-984,,,-129,-1374
コパノリッキー,748,-2216,35,-1211,-781,177,-934,-1164,-366,-142,-250,-252,-224,-294,-355,331,-93,-111,581,-1100,10,-233,-1416,-9,-67,-933,-583,-208,-229,-732
コントレイル,131,-300,,96,-419,,244,-620,118,,93,-40,194,-425,104,-443,-200,238,-483,-79,-56,-394,-129,339,-321,,,,-399,-311
サートゥルナーリア,28,-2606,,685,-2737,87,544,-2661,-184,-478,647,-520,538,-1252,569,338,-2069,-296,1100,-850,-952,-10,-923,429,177,-3016,,,-395,-105
サトノアラジン,-149,-1132,-61,180,-1169,-277,-180,-1019,-81,86,-381,-270,-842,-433,837,142,302,-754,-114,-815,-379,-337,67,-158,-489,-740,1524,-624,-1357,1081
サトノクラウン,-1561,73,-160,-238,-2698,1814,-589,-755,-372,-150,127,509,-374,-12,-968,-417,444,-292,-1161,640,260,-1807,1240,-462,-612,-837,1018,-946,365,-707
サトノダイヤモンド,-2004,973,969,302,-488,-659,-169,-1050,368,-331,-214,617,314,485,-1399,-431,783,-652,-174,79,-577,1095,-483,-989,646,-2260,-873,2852,1142,-1294
ザファクター,382,32,0,423,-147,0,187,200,-20,-10,-93,147,-78,-58,85,145,-36,155,146,89,0,0,212,59,0,0,0,799,413,-361
サンダースノー,-664,3648,80,2727,820,-20,297,2869,605,-419,291,-220,449,1914,-49,-510,800,440,1228,1991,-616,3456,1139,-720,36,3139,285,,2652,-438
シスキン,305,3083,,1055,1376,,939,1565,-127,167,148,134,468,-110,268,145,1684,,-437,6,710,2384,-299,78,2774,-614,,,1615,258
シニスターミニスター,-708,6646,-224,2149,4029,171,1091,5699,398,-66,431,177,104,303,749,1989,2250,594,-236,1639,705,2541,2445,-574,967,2818,1768,-465,1847,1489
ジャスタウェイ,-817,297,-278,788,-1397,333,-209,-309,292,-213,-162,-280,373,-563,-14,-377,748,-380,-293,466,-365,-87,-322,189,-188,-306,266,-594,804,209
シャンハイボビー,-1399,-1987,-394,-925,-2570,-268,-1047,-1849,-1023,-9,98,-994,-12,-1380,-328,164,-90,-561,-402,-1009,-99,-379,-3230,-174,-7,-852,-1295,-3796,-198,-1542
シュヴァルグラン,-163,-1904,,-795,-1241,376,-784,-886,113,145,-268,614,-475,-553,-1154,-469,665,-365,99,-653,653,-789,-1907,9,-487,80,-1987,,-953,874
ジョーカプチーノ,311,269,0,112,212,50,-147,835,209,363,84,74,-198,71,-198,204,230,-159,-212,-229,127,-261,1115,260,36,-51,12,856,-46,32
