場所,R,馬番,馬名,騎手名,騎手利益度_1,騎手利益度_2,騎手利益度_3,騎手利益度_4,騎手利益度_5,騎手利益度_6,騎手利益度,騎手利益度順位
東京,9,4,レベルスルール,横山武史,-2171.0,-2194.0,-119.0,-1532.0,-2164.0,,-8180.0,8.0
東京,9,5,オメガインペリアル,坂井瑠星,304.0,221.0,-634.0,-66.0,884.0,,709.0,3.0
東京,9,6,ダノンミッション,レーン　,-713.0,-732.0,86.0,-377.0,-634.0,,-2370.0,6.0
東京,9,7,ビーオンザカバー,戸崎圭太,-427.0,-1243.0,-179.0,-779.0,-811.0,,-3439.0,7.0
東京,9,8,コスモスプモーニ,木幡巧也,1252.0,-1476.0,-640.0,-405.0,1522.0,,253.0,4.0
東京,9,9,ノビリシマビジョン,ルメール,1134.0,553.0,831.0,191.0,1062.0,,3771.0,1.0
東京,10,1,ピックアップライン,木幡巧也,1252.0,-1476.0,473.0,875.0,1522.0,-1554.0,1092.0,5.0
東京,10,2,クインズデネブ,杉原誠人,-692.0,76.0,-1224.0,281.0,-165.0,462.0,-1262.0,8.0
東京,10,3,ラストシャリナ,戸崎圭太,-427.0,-1243.0,-1758.0,-1200.0,-811.0,-717.0,-6156.0,12.0
東京,10,4,メイショウハチロー,川田将雅,217.0,1157.0,161.0,-46.0,798.0,137.0,2424.0,3.0
東京,10,5,ベンヌ,横山武史,-2171.0,-2194.0,-2781.0,-1275.0,-2164.0,-952.0,-11537.0,14.0
東京,10,6,トクシーカイザー,武豊　　,-91.0,-789.0,-310.0,-1193.0,-249.0,-306.0,-2938.0,11.0
東京,10,7,スプランドゥール,柴田大知,-2547.0,-1005.0,-1013.0,-1918.0,-2875.0,-528.0,-9886.0,13.0
東京,10,8,カネショウレジェン,ルメール,1134.0,553.0,-108.0,45.0,1062.0,40.0,2726.0,2.0
東京,10,9,エンセリオ,佐々木大,-1372.0,344.0,-1647.0,1158.0,-834.0,-470.0,-2821.0,10.0
東京,10,10,シャパリュ,三浦皇成,1081.0,348.0,1764.0,996.0,171.0,1642.0,6002.0,1.0
東京,10,11,レーウィン,矢野貴之,,,,,,,,
東京,10,12,フウセツ,大野拓弥,427.0,338.0,-724.0,1084.0,220.0,830.0,2175.0,4.0
東京,10,13,イノセントキャット,田辺裕信,591.0,716.0,-541.0,102.0,735.0,-654.0,949.0,6.0
東京,10,14,ワンダラー,レーン　,-713.0,-732.0,-502.0,-267.0,-634.0,354.0,-2494.0,9.0
東京,10,15,ペイシャケイプ,横山典弘,160.0,-805.0,969.0,-657.0,575.0,447.0,689.0,7.0
東京,11,1,トゥーナスタディ,菅原辰徳,,,,,,,,
東京,11,2,カットソロ,津村明秀,683.0,-31.0,1585.0,611.0,2338.0,,5186.0,1.0
東京,11,3,パラディオン,吉田豊　,-42.0,-60.0,-1035.0,-378.0,-93.0,,-1608.0,11.0
東京,11,4,ブラックオリンピア,川田将雅,217.0,258.0,329.0,-311.0,798.0,,1291.0,4.0
東京,11,5,ミッキーファルコン,田辺裕信,591.0,-322.0,1091.0,366.0,735.0,,2461.0,2.0
東京,11,6,テルヒコウ,坂井瑠星,304.0,24.0,-634.0,140.0,884.0,,718.0,6.0
東京,11,7,タイダルロック,三浦皇成,1081.0,-412.0,-899.0,-40.0,171.0,,-99.0,8.0
東京,11,8,ラストスマイル,杉原誠人,-692.0,1193.0,1191.0,-548.0,-165.0,,979.0,5.0
東京,11,9,ヒシアムルーズ,佐々木大,-1372.0,-448.0,796.0,180.0,-834.0,,-1678.0,12.0
東京,11,10,アッカン,池添謙一,-610.0,-789.0,301.0,-4.0,314.0,,-788.0,9.0
東京,11,11,ノチェセラーダ,ディー　,-2455.0,689.0,-266.0,-112.0,-2455.0,,-4599.0,16.0
東京,11,12,サガルマータ,横山武史,-2171.0,410.0,-119.0,-74.0,-2164.0,,-4118.0,15.0
東京,11,13,コスモギガンティア,矢野貴之,,,,,,,,
