rlevel,topk,place_low_min,place_high_max,pop_min,pop_max,diff_pop_min,bets,win_roi,win_hit,place_roi,place_hit,umaren_box_bets,umaren_box_roi,umaren_box_races,umaren_axis1_bets,umaren_axis1_roi,umaren_axis1_races
5,5,2.1,3.5,3,8,0,18,136.11111111111111,0.16666666666666666,116.66666666666667,0.4444444444444444,2,0.0,2,2,0.0,2
4,2,2.1,3.5,2,7,1,30,132.0,0.16666666666666666,116.66666666666667,0.43333333333333335,0,,0,0,,0
4,2,2.1,3.5,3,7,1,30,132.0,0.16666666666666666,116.66666666666667,0.43333333333333335,0,,0,0,,0
4,2,2.1,3.5,3,8,1,30,132.0,0.16666666666666666,116.66666666666667,0.43333333333333335,0,,0,0,,0
4,3,2.1,3.5,2,6,1,30,132.0,0.16666666666666666,116.66666666666667,0.43333333333333335,0,,0,0,,0
4,3,2.2,3.5,2,7,1,23,172.17391304347828,0.21739130434782608,116.52173913043478,0.43478260869565216,0,,0,0,,0
4,3,2.2,3.5,3,7,1,23,172.17391304347828,0.21739130434782608,116.52173913043478,0.43478260869565216,0,,0,0,,0
4,3,2.2,3.5,3,8,1,23,172.17391304347828,0.21739130434782608,116.52173913043478,0.43478260869565216,0,,0,0,,0
4,4,2.2,3.5,2,7,1,23,172.17391304347828,0.21739130434782608,116.52173913043478,0.43478260869565216,0,,0,0,,0
4,4,2.2,3.5,3,7,1,23,172.17391304347828,0.21739130434782608,116.52173913043478,0.43478260869565216,0,,0,0,,0
4,4,2.2,3.5,3,8,1,23,172.17391304347828,0.21739130434782608,116.52173913043478,0.43478260869565216,0,,0,0,,0
4,5,2.2,3.5,2,7,1,23,172.17391304347828,0.21739130434782608,116.52173913043478,0.43478260869565216,0,,0,0,,0
4,5,2.2,3.5,3,7,1,23,172.17391304347828,0.21739130434782608,116.52173913043478,0.43478260869565216,0,,0,0,,0
4,5,2.2,3.5,3,8,1,23,172.17391304347828,0.21739130434782608,116.52173913043478,0.43478260869565216,0,,0,0,,0
5,3,1.8,3.5,2,6,1,24,87.91666666666667,0.125,116.25000000000001,0.5,1,0.0,1,1,0.0,1
5,3,1.8,3.5,2,7,1,24,87.91666666666667,0.125,116.25000000000001,0.5,1,0.0,1,1,0.0,1
5,4,1.8,3.5,2,6,1,24,87.91666666666667,0.125,116.25000000000001,0.5,1,0.0,1,1,0.0,1
5,4,1.8,3.5,2,7,1,24,87.91666666666667,0.125,116.25000000000001,0.5,1,0.0,1,1,0.0,1
