調教師名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞,2歳,3歳,4歳,5歳以上,休明初戦,休明2走,休明3走,連闘
小島茂之,1943,-162,-452,784,896,-299,1402,551,96,-307,-84,597,501,960,207,-453,-68,-72,-17,-235,201,346,689,-671,-340,307,384,181,240,-390,951,137,-63
小手川準,-2335,1019,-79,-138,-748,-176,64,-949,-1061,-170,66,1329,-970,259,46,-507,-36,-274,-541,-600,19,-312,-946,-37,174,-63,-1187,284,-441,-614,44,-115,-460
小西一男,-869,-297,125,-696,-189,121,-859,-61,187,217,-331,-255,-150,-343,-95,398,30,-365,56,-20,634,-1792,-552,348,250,-1016,174,-210,15,319,-65,-727,-55
小林真也,-555,1467,0,730,-217,355,92,878,38,1306,26,18,176,198,52,1420,-544,167,-407,308,-712,-256,1317,122,-175,-924,368,1173,336,247,721,410,260
昆貢　　,-284,-709,-158,-810,57,-420,-103,-818,29,-153,12,24,-114,51,-226,-2369,150,-25,-70,-127,80,-954,-805,192,507,-88,-351,-149,-395,414,-692,-261,19
今野貞一,-1432,-342,-18,-139,-1474,-458,-176,-1820,318,-159,-333,-104,-103,-60,11,-1005,26,-967,-792,238,-61,-1492,-201,-554,-256,-160,-1057,-252,-993,-1104,-315,473,732
斉藤崇史,-639,637,-150,188,149,-474,186,-371,-110,-158,-180,161,39,39,53,206,-77,-180,-249,121,278,554,-713,-137,-271,762,74,-486,-530,-387,-73,-331,0
斎藤誠　,-547,673,-158,2099,-1630,-274,-172,202,719,-269,-216,-110,30,-160,79,482,246,-735,-135,509,-962,1148,-140,119,-48,54,394,-688,171,-939,289,-98,70
坂口智康,-1792,-1371,5,-2208,-837,-39,-1742,-1133,-123,-155,-324,-385,-67,-157,-1404,212,165,-1013,-419,-42,-168,-873,-1808,-352,-314,-154,-1777,-987,-313,-170,-910,-983,135
佐々木晶,647,440,129,1246,-321,191,554,494,49,-349,-64,601,-106,237,71,-1537,437,-163,-68,516,20,274,312,1046,78,221,752,-46,431,283,840,76,-51
笹田和秀,60,-1315,0,-2533,420,667,-111,-1009,-335,-86,261,2,-132,-121,-65,-840,27,-235,-358,-160,32,-1857,455,-495,-120,-478,-1047,455,-495,-920,-94,352,-35
佐藤吉勝,-1821,753,226,451,-691,127,158,-1071,-552,-179,903,-492,-1047,-792,1339,-315,-158,-111,-1133,-124,-384,-1237,688,299,380,-2088,-1387,-265,3499,1612,169,1042,-468
鮫島一歩,-525,934,-142,164,387,-485,-622,796,336,-470,-103,215,176,-158,-600,-1075,518,38,-304,189,-103,685,-723,-93,-89,206,353,304,-1368,-564,789,-141,-104
四位洋文,988,466,17,404,647,409,346,1104,-29,154,329,84,-56,-50,215,761,26,59,588,92,85,200,944,749,1161,196,403,592,314,2225,-792,209,-158
鹿戸雄一,1756,57,-21,1108,596,-28,1506,246,74,-167,414,1114,375,-72,28,-136,-5,59,-32,-15,1061,249,328,-515,-407,1697,-84,-587,274,-913,-116,416,96
清水久詞,357,-1429,812,-548,-1042,1229,-972,141,25,178,50,-531,-233,1059,-96,-950,-183,24,581,-454,-209,-809,-771,446,-196,-409,-1261,377,1448,800,58,-13,-104
清水英克,2475,-1236,-29,1,814,359,-287,1660,615,218,533,544,-1246,-235,-118,-2,0,497,158,-974,-256,929,1176,-226,-236,144,761,405,-298,-781,710,141,-367
庄野靖志,453,-125,-46,142,205,-129,12,277,130,109,-212,115,-155,-69,8,1229,-33,-345,170,-43,275,-417,214,-163,16,492,14,-284,-161,-261,-203,24,-26
新開幸一,-381,-651,268,-535,-478,137,-782,-367,-171,-141,470,-187,-171,-245,-112,-318,34,724,-161,-115,73,-329,-388,49,78,-20,-1027,360,-295,-1093,-341,597,-25
新谷功一,-541,-524,-54,-353,-462,-778,-539,-493,-89,-11,-40,-595,-663,-40,195,-698,-73,151,-365,-85,-701,-469,184,-435,-277,-624,-658,196,-173,305,-376,-367,-213
須貝尚介,360,141,0,353,104,-127,386,-31,1261,291,-158,216,-85,295,184,-1940,-104,-553,127,-280,218,655,0,-255,-273,321,6,-43,-346,-54,659,-25,135
杉浦宏昭,298,203,-447,882,-233,-513,-442,835,583,286,490,-486,-133,-663,150,-394,3,-348,-352,-618,-326,458,63,-468,-139,-16,572,-294,-1370,-107,-28,-352,183
杉山晴紀,1277,650,-21,1065,822,-71,718,1196,-471,-338,496,-25,261,57,482,863,188,223,481,225,189,609,869,348,390,776,969,546,-457,738,105,-111,205
杉山佳明,29,2223,0,1364,1127,-354,753,1384,402,-405,65,-111,421,-154,562,2270,251,-264,-108,1219,560,1713,-108,-97,548,1142,529,318,169,-352,559,-159,129
鈴木慎太,949,1421,-11,1696,794,-143,860,1281,114,32,540,752,810,588,-123,261,0,-271,225,741,1529,882,-201,75,-158,1066,1165,15,-20,429,1055,-572,-296
鈴木孝志,-1125,591,-205,-936,382,-228,-721,36,-220,-161,-32,16,-225,-219,-823,1461,99,-313,51,92,450,-931,-173,-629,-271,-256,-205,22,-542,-1256,-203,496,11
鈴木伸尋,-110,-1367,0,-605,-738,-161,-1443,-181,-60,-260,450,-335,-553,-256,-414,507,-8,-63,-80,-293,-68,264,-1428,-95,-82,-13,349,-946,-878,-1253,-180,-353,-35
勢司和浩,-350,-1354,,-716,-808,0,-1396,-126,-116,-433,249,233,-1512,-12,-23,-473,0,112,-371,-296,1228,-1995,-547,-473,-394,759,-1270,-306,-949,-1213,262,-715,131
高木登　,528,959,274,-36,1330,283,1218,311,191,-443,225,570,1179,149,-251,210,30,327,-35,478,-278,1384,-546,705,259,-12,647,265,1136,73,38,113,-50
高野友和,1012,298,-12,669,528,172,267,1035,-24,-141,-154,-204,116,20,426,1460,235,-93,153,525,570,317,-122,358,401,964,147,-145,-208,252,-361,66,0
高橋一哉,-403,-3120,-473,-2381,-897,-709,-1939,-1600,-788,221,619,-685,-171,-552,-1194,-1403,696,-214,805,682,-946,-1710,-958,-473,-158,-1802,-1864,1887,-1476,-1234,-1323,327,
高橋文雅,-440,17,25,190,-874,45,-541,194,-238,29,-180,-306,-87,398,1,-128,0,3,44,-304,217,-473,-59,-148,-140,52,-897,454,-170,782,-134,-271,-105
高橋康之,910,-1149,0,407,-991,-9,375,-855,93,-356,-352,-196,95,-99,426,589,-306,280,-344,811,35,-871,202,116,119,-207,-1746,-161,934,-626,272,730,424
高橋義忠,-266,-515,-194,-337,-259,-353,-603,7,-173,-94,715,-334,97,-188,-309,45,-35,-55,-394,127,-693,579,-275,-1072,-267,-631,40,296,-1192,91,-252,-11,-48
高橋亮　,359,-374,518,-820,762,595,-564,479,362,-22,-99,298,-37,24,-267,-130,-13,76,459,118,-611,39,158,331,-378,-365,-204,306,141,491,760,-267,64
高柳大輔,527,934,-12,1307,218,-133,385,1150,-499,-433,201,136,-9,122,203,1571,148,214,192,191,-64,387,747,-161,-37,1137,632,-514,-92,183,295,296,-128
高柳瑞樹,-143,-836,50,-440,-445,52,-606,-246,-23,-106,-79,346,-570,-405,-245,-13,0,199,-222,-390,360,-390,-1250,418,219,435,-465,-603,-244,290,-94,-278,7
武幸四郎,1110,856,0,304,1807,-63,907,1166,561,183,-234,-17,467,792,411,49,32,-72,300,9,204,706,949,-439,-43,348,761,619,249,372,-78,-41,-7
武英智　,793,86,495,710,348,279,452,301,-331,318,-176,74,327,329,214,1113,34,-237,570,-327,191,-226,323,829,-120,236,38,177,948,106,226,1651,178
武井亮　,-139,1402,-29,523,550,22,9,1211,-191,-110,421,-14,-99,571,123,204,58,-66,290,107,279,778,255,-203,-128,802,791,-229,-703,162,-413,87,-1
武市康男,47,-2334,-179,-1688,-511,-197,-241,-1800,55,-281,-503,-406,66,-1162,-53,883,0,-133,68,-602,1129,-2410,-316,-195,-104,-96,-1462,11,-522,-1464,-387,-679,-384
竹内正洋,190,1159,25,1653,-377,-67,1345,-57,85,-523,134,175,1112,35,26,148,0,9,296,-305,922,269,919,-476,208,1157,-179,496,-257,-279,-585,732,67
田島俊明,-816,670,0,-107,218,216,524,-186,-165,246,520,38,522,-977,-70,734,8,8,17,296,790,-704,353,124,-59,-854,635,245,211,-811,731,326,28
田中克典,814,1729,0,-57,2205,317,340,2288,247,544,-197,-22,-10,52,325,-359,550,303,-11,401,-255,1892,966,-248,306,210,2106,493,-308,761,377,314,95
