場所,R,馬番,馬名,種牡馬名,種牡馬妙味度_1,種牡馬妙味度_2,種牡馬妙味度_3,種牡馬妙味度_4,種牡馬妙味度_5,種牡馬妙味度_6,種牡馬妙味度_7,種牡馬妙味度_8,種牡馬妙味度,種牡馬妙味度順位
東京,4,4,パープルアドミラル,シビルウォー,,,,,,,,,,
東京,4,5,ブリエヴェール,エイシンフラッシュ,71.0,77.0,,,,,,,74.0,7.0
東京,4,6,スピアヘッド,ハービンジャー,92.0,108.0,,,,,,,100.0,2.0
東京,4,7,ピーターサイト,ワンアンドオンリー,115.0,21.0,,,,,,,68.0,8.0
東京,4,8,ピンポイントドロー,レッドファルクス,90.0,39.0,,,,,,,64.5,9.0
東京,4,9,モントライゼ,ダイワメジャー,92.0,90.0,,,,,,,91.0,6.0
東京,4,10,シゲルタヌキ,ビッグアーサー,93.0,99.0,,,,,,,96.0,4.0
東京,4,11,ジオフロント,ハーツクライ,93.0,90.0,,,,,,,91.5,5.0
東京,5,1,スカーレットジーン,トーセンラー,85.0,102.0,98.0,87.0,84.0,95.0,,,91.833,11.0
東京,5,2,ヴェルメロディ,モーリス,103.0,99.0,99.0,98.0,99.0,96.0,,,99.0,5.0
東京,5,3,カレントゥルーシー,サングレーザー,,,,,,,,,,
東京,5,4,ウインターアヘッド,ミッキーグローリー,188.0,125.0,80.0,105.0,77.0,132.0,,,117.833,1.0
東京,5,5,スカイリッチ,ハービンジャー,92.0,110.0,101.0,102.0,98.0,89.0,,,98.667,6.0
東京,5,6,エコロセレナ,コントレイル,,,,,,,,,,
東京,5,7,アタックエース,ディープブリランテ,91.0,96.0,99.0,92.0,90.0,84.0,,,92.0,10.0
東京,5,8,ファーザーアウェイ,エピファネイア,99.0,119.0,97.0,108.0,97.0,99.0,,,103.167,3.0
東京,5,9,ファムクラジューズ,ベンバトル,,,,,,,,,,
東京,5,10,カサナルキセキ,ガルボ,,,,,,,,,,
東京,5,11,ナックホワイト,ブリックスアンドモルタル,108.0,100.0,104.0,99.0,104.0,108.0,,,103.833,2.0
東京,5,12,ブラックパロット,アドマイヤマーズ,98.0,109.0,95.0,105.0,108.0,97.0,,,102.0,4.0
東京,5,13,アルクノワール,シルバーステート,81.0,108.0,104.0,96.0,97.0,95.0,,,96.833,7.0
東京,5,14,ロジケープ,ロジユニヴァース,,,,,,,,,,
東京,5,15,マーゴットライズ,インディチャンプ,,,,,,,,,,
東京,5,16,ラグアイリータ,ウインブライト,86.0,84.0,97.0,100.0,99.0,102.0,,,94.667,9.0
東京,5,17,アズサ,サトノクラウン,92.0,110.0,94.0,92.0,88.0,100.0,,,96.0,8.0
東京,6,1,サンロレンツォ,シャンハイボビー,87.0,94.0,101.0,97.0,101.0,87.0,80.0,,92.429,12.0
東京,6,2,ラッキーヤース,シュヴァルグラン,86.0,90.0,89.0,91.0,99.0,80.0,,,89.167,15.0
東京,6,3,ブリックンクリック,ブリックスアンドモルタル,108.0,116.0,94.0,103.0,100.0,108.0,103.0,,104.571,3.0
東京,6,4,レミギノテソーロ,ノーブルミッション,,,,,,,,,,
東京,6,5,ポッドベル,モズアスコット,123.0,117.0,109.0,118.0,140.0,,,,121.4,1.0
東京,6,6,ホウオウゴールド,ディーマジェスティ,91.0,108.0,106.0,108.0,103.0,94.0,113.0,,103.286,4.0
東京,6,7,アルナイル,ニューイヤーズデイ,92.0,100.0,100.0,101.0,107.0,100.0,,,100.0,7.0
東京,6,8,グアラニア,マインドユアビスケッツ,122.0,88.0,93.0,105.0,102.0,104.0,,,102.333,6.0
東京,6,9,スプランドゥール,シルバーステート,81.0,96.0,77.0,94.0,97.0,95.0,,,90.0,14.0
東京,6,10,ゲキザル,ザファクター,87.0,103.0,100.0,103.0,104.0,103.0,79.0,,97.0,10.0
東京,6,11,デルマムーン,マインドユアビスケッツ,122.0,88.0,93.0,90.0,102.0,104.0,101.0,,100.0,7.0
東京,6,12,パッセアジル,ディスクリートキャット,101.0,103.0,101.0,101.0,109.0,104.0,127.0,,106.571,2.0
東京,6,13,ピコテンダー,Justify,94.0,87.0,93.0,86.0,90.0,94.0,87.0,,90.143,13.0
東京,6,14,メレカリキマカ,ロードカナロア,101.0,99.0,100.0,102.0,102.0,102.0,112.0,,102.571,5.0
東京,6,15,フレイムジョーカー,ロージズインメイ,125.0,84.0,97.0,88.0,97.0,101.0,102.0,,99.143,9.0
東京,6,16,シュガーハイ,リオンディーズ,94.0,101.0,99.0,92.0,97.0,92.0,103.0,,96.857,11.0
東京,7,1,ヒロインズクレスト,スクリーンヒーロー,103.0,110.0,109.0,102.0,102.0,103.0,110.0,,105.571,5.0
