場所,R,馬番,馬名,騎手妙味度,騎手妙味度順位,種牡馬妙味度,種牡馬妙味度順位,調教師妙味度,調教師妙味度順位,妙味度合計,総合妙味度,総合妙味度順位
阪神,6,7,ヨリノレジェンド,103.6,2.0,112.714,4.0,102.667,4.0,318.981,106.327,1.0
阪神,6,8,エイユーファイヤー,102.4,6.0,106.0,5.0,102.833,3.0,311.233,103.744,4.0
阪神,6,9,マナエトレ,103.4,3.0,119.5,1.0,94.667,11.0,317.567,105.856,2.0
阪神,6,10,ワンダーリズム,103.0,4.0,68.2,13.0,106.5,1.0,277.7,92.567,11.0
阪神,6,11,サーティファイド,85.6,12.0,101.0,8.0,,,,,
阪神,6,12,スコーピオンイメル,98.4,8.0,101.286,7.0,101.571,5.0,301.257,100.419,7.0
阪神,6,13,マックスセレナーデ,104.0,1.0,97.0,10.0,99.429,7.0,300.429,100.143,8.0
阪神,7,1,シャインバオバブ,102.2,4.0,97.571,12.0,98.0,12.0,297.771,99.257,5.0
阪神,7,2,ジャスティンライズ,101.8,5.0,105.333,1.0,102.429,5.0,309.562,103.187,3.0
阪神,7,3,ホウオウレイヴン,103.2,2.0,86.0,15.0,100.5,7.0,289.7,96.567,9.0
阪神,7,4,ボナペティアスク,101.4,6.0,86.0,15.0,91.667,14.0,279.067,93.022,12.0
阪神,7,5,ラブカ,96.6,9.0,101.5,8.0,93.833,13.0,291.933,97.311,8.0
阪神,7,6,アロンディ,,,101.714,7.0,102.143,6.0,,,
阪神,7,7,ヤマニンアラクリア,88.4,11.0,97.429,13.0,100.429,9.0,286.25800000000004,95.419,11.0
阪神,7,8,ピエタンツァ,97.4,8.0,93.857,14.0,105.333,4.0,296.59000000000003,98.863,7.0
阪神,7,9,サイモンベローチェ,,,100.143,11.0,107.571,2.0,,,
阪神,7,10,ケイアイワイラーパ,94.4,10.0,102.571,4.0,100.0,10.0,296.971,98.99,6.0
阪神,7,11,グローリアミノル,,,102.5,5.0,,,,,
阪神,7,12,シンドリームシン,100.8,7.0,105.333,1.0,109.167,1.0,315.29999999999995,105.1,2.0
阪神,7,13,ノラリクラリ,85.6,12.0,102.714,3.0,99.0,11.0,287.31399999999996,95.771,10.0
阪神,7,14,ドマーネ,111.2,1.0,100.571,9.0,106.667,3.0,318.438,106.146,1.0
阪神,7,15,リヴァイデント,80.2,13.0,102.5,5.0,,,,,
