,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞
江田勇亮,103.617,21.0,96.589,21.0,,98.497,101.059,96.271,,,56.373,77.572,100.038,103.112,140.752,21.0,21.0,120.907,135.286,,,89.332,21.0,121.762,
遠藤汰月,70.668,67.969,,60.481,85.339,21.0,57.234,79.63,,,120.273,75.909,41.345,50.008,,,,,21.0,43.256,56.936,60.68,81.567,,
大江原圭,155.597,21.0,98.91,21.0,21.0,100.675,69.032,113.35,,,89.941,57.189,70.502,111.275,82.357,127.44,131.313,108.978,221.578,21.0,,104.724,21.0,89.32,
大久保友,39.614,80.183,,72.194,56.54,21.0,99.158,48.645,86.027,38.076,160.052,113.273,,21.0,98.894,49.761,51.73,173.386,60.735,79.678,41.25,54.298,68.373,,
大野拓弥,103.537,96.885,,102.627,97.396,106.267,102.853,98.848,90.687,114.852,100.724,97.152,103.147,96.57,205.606,257.602,85.178,159.413,90.766,106.361,88.318,98.81,100.423,129.587,79.887
岡田祥嗣,122.443,44.025,,60.284,171.894,132.429,58.677,146.18,,,21.0,189.095,21.0,21.0,35.196,90.293,774.681,42.902,21.0,38.33,62.948,114.408,42.403,21.0,
荻野極,101.861,106.091,,112.602,95.382,92.07,109.099,97.219,278.778,21.0,96.594,106.756,92.728,123.978,118.676,113.711,83.16,93.12,101.527,98.721,105.222,99.779,105.255,102.661,93.851
荻野琢真,121.426,90.28,,120.862,88.154,27.022,116.266,102.05,73.846,131.699,94.882,108.09,127.468,21.0,66.746,112.532,73.996,133.185,107.331,97.996,129.729,116.907,96.058,21.0,21.0
小沢大仁,92.655,93.452,,76.68,105.269,118.232,76.53,107.173,94.305,97.666,105.9,70.63,98.654,21.0,74.142,114.006,83.442,112.015,105.946,95.375,79.424,99.7,93.119,60.43,59.764
小野寺祐,76.46,21.0,95.617,21.0,21.0,95.107,89.92,95.552,,,111.912,63.64,112.657,86.496,92.535,127.297,83.723,92.346,116.946,21.0,21.0,91.868,21.0,104.11,21.0
加藤祥太,90.303,109.998,,104.553,86.801,21.0,101.756,100.125,100.091,71.625,149.086,127.909,21.0,208.8,97.39,59.467,85.688,67.048,58.355,150.004,121.86,111.876,77.796,37.017,21.0
金子光希,49.366,21.0,119.278,,,115.098,115.926,112.205,,,90.971,169.403,39.9,52.978,359.462,21.0,105.99,200.02,21.0,,,95.193,,148.871,
亀田温心,102.506,87.967,,100.386,95.925,42.624,84.303,104.43,74.405,55.528,106.493,77.037,50.632,106.933,85.199,123.814,123.895,101.83,97.652,87.791,156.477,89.375,98.077,81.248,24.834
川須栄彦,83.458,90.388,,89.577,86.284,21.0,96.736,84.108,,,76.801,92.699,21.0,21.0,98.816,84.52,117.943,66.931,68.261,94.83,55.994,95.236,85.275,120.741,36.172
川田将雅,101.196,100.592,,99.19,103.861,85.089,104.877,98.815,105.868,21.0,,112.358,105.189,89.1,104.7,99.321,101.335,102.112,97.136,101.367,90.848,98.548,104.712,95.987,103.4
川端海翼,77.477,102.858,,105.061,90.356,86.133,117.51,84.211,95.887,78.97,58.587,85.279,1025.667,21.0,129.72,79.086,50.403,99.081,149.675,131.571,112.298,78.767,115.694,21.0,21.0
河原田菜,75.732,91.98,,84.981,86.552,21.0,105.159,71.635,,,76.875,104.956,,21.0,102.084,78.82,67.288,63.333,63.715,99.483,97.735,85.141,79.596,99.955,21.0
川又賢治,100.64,93.042,,102.902,74.33,112.932,103.487,93.485,73.514,96.83,81.903,106.89,74.571,112.041,97.2,88.631,102.776,58.871,129.796,107.497,71.155,98.907,90.663,100.547,78.99
菊沢一樹,109.107,104.483,,109.384,102.165,119.328,112.393,102.126,135.909,65.954,103.063,116.85,108.732,97.232,192.65,21.0,21.0,112.737,115.366,106.354,96.768,111.121,103.326,121.52,49.022
北村宏司,103.752,99.48,,104.964,101.867,76.155,105.362,95.341,21.0,,57.187,91.178,106.273,95.633,85.304,41.168,203.543,,99.189,94.096,125.481,89.404,100.625,165.448,72.095
北村友一,99.325,99.36,,96.66,101.26,96.863,90.47,102.435,108.232,108.362,84.478,83.313,64.362,82.848,95.673,96.199,111.895,114.71,98.381,91.919,102.452,104.928,97.719,93.017,83.73
城戸義政,102.349,103.162,,88.138,111.077,21.0,112.743,92.959,21.0,143.85,113.836,143.362,21.0,21.0,111.501,79.627,75.178,217.043,104.4,110.988,195.305,84.866,104.581,26.461,21.0
草野太郎,65.925,50.677,98.734,21.0,21.0,97.267,96.622,97.886,,,114.636,95.29,113.301,83.898,130.746,201.29,73.078,99.603,73.366,76.645,21.0,93.816,21.0,99.843,
黒岩悠,70.407,46.441,90.283,35.167,33.973,89.792,73.175,89.339,,,87.708,75.033,56.892,180.8,61.187,39.094,83.393,85.897,44.846,21.0,21.0,82.598,43.176,101.345,
国分恭介,118.718,115.311,,122.704,113.854,54.43,107.879,124.378,45.217,97.583,170.285,104.118,29.416,129.828,109.707,104.738,118.509,102.86,126.489,113.367,108.728,122.117,116.879,95.423,229.646
国分優作,93.738,100.495,,105.076,92.278,68.826,75.201,111.989,21.0,21.0,69.52,88.471,21.0,21.0,72.664,120.115,134.287,101.101,131.114,102.699,139.82,94.269,95.294,118.728,100.196
小坂忠士,124.118,59.981,140.456,21.0,21.0,138.951,138.565,125.185,,,72.186,98.403,53.278,120.906,547.545,98.21,127.12,160.911,80.883,21.0,,142.762,21.0,129.216,
小崎綾也,103.293,100.872,,96.719,109.645,52.117,105.387,98.783,37.865,70.333,122.89,81.552,264.482,74.469,102.792,78.385,104.788,111.427,105.403,86.641,99.94,95.736,101.953,122.738,136.263
小林脩斗,81.938,111.326,,103.244,97.569,119.247,99.149,104.035,113.511,97.54,78.169,96.632,80.834,116.104,113.995,21.0,21.0,99.458,99.389,104.157,92.742,89.347,113.696,21.0,21.0
小林美駒,97.557,96.392,,95.017,101.627,21.0,89.458,99.459,108.595,82.073,101.576,100.682,80.52,85.236,32.776,246.191,,106.81,119.278,114.813,80.902,96.285,97.754,21.0,21.0
小林凌大,85.983,100.263,,92.155,102.566,28.764,77.393,98.442,67.747,98.706,61.434,76.797,72.791,108.916,43.508,,21.0,97.648,60.014,85.766,84.765,106.65,89.442,86.275,
小牧加矢,108.142,21.0,98.335,,,99.735,93.82,102.689,,,80.41,101.913,86.779,127.517,71.276,101.854,80.372,104.538,61.879,,,97.773,,102.997,
木幡育也,111.192,91.852,,88.361,107.641,64.685,86.177,101.156,,,160.849,83.134,84.485,63.032,62.269,21.0,451.833,66.966,98.135,147.199,63.875,90.528,117.328,21.0,21.0
木幡巧也,100.937,102.322,,104.215,100.678,70.245,106.149,97.877,21.0,152.412,106.518,101.359,107.435,94.97,21.0,,21.0,,95.51,93.355,99.663,106.126,95.917,127.848,77.395
木幡初也,107.4,90.395,,98.012,92.253,134.571,82.216,102.203,21.0,21.0,90.704,94.993,75.72,109.81,38.524,93.701,45.388,117.25,132.069,73.85,97.938,106.851,85.732,21.0,152.445
斎藤新,94.648,101.075,,100.286,94.392,104.487,99.074,97.628,113.632,70.36,102.715,93.89,85.707,94.841,108.333,89.01,104.366,92.744,108.349,106.568,97.222,102.588,96.255,87.15,100.017
酒井学,96.106,95.972,,97.276,89.16,161.291,92.636,97.248,,202.05,47.442,93.046,85.057,27.097,86.435,98.598,95.663,78.848,85.177,86.823,101.37,85.883,104.534,91.709,100.149
坂井瑠星,97.662,102.678,,100.972,99.041,104.408,102.435,99.021,84.729,110.159,62.353,90.1,105.686,88.689,106.076,95.064,101.546,95.559,95.261,105.834,89.943,105.191,99.399,95.784,102.108
坂口智康,21.0,,116.187,,,114.083,110.573,118.642,,,115.014,126.693,44.297,180.478,110.452,82.574,171.37,21.0,,,,120.542,,78.026,
佐々木大,100.916,96.999,,103.688,93.023,89.946,98.152,99.227,90.96,111.645,94.919,92.292,92.923,101.666,104.908,71.718,102.223,107.117,108.665,102.931,103.897,99.084,100.084,80.793,66.646
佐藤翔馬,118.779,99.735,,114.739,72.754,21.0,95.103,116.633,21.0,,123.142,73.385,76.128,145.154,793.347,,21.0,126.134,143.064,67.896,80.389,107.116,106.698,21.0,21.0
鮫島克駿,98.966,103.944,,97.921,104.293,103.739,98.11,102.185,109.128,101.87,150.446,73.227,91.967,99.603,102.687,100.614,102.4,92.691,93.94,108.547,117.189,101.421,97.779,109.539,103.653
鮫島良太,97.145,128.248,,118.878,122.93,23.603,100.937,129.972,,,155.857,68.613,21.0,208.165,109.361,105.51,137.663,119.278,143.583,116.096,71.96,99.384,125.447,163.905,21.0
柴田大知,90.38,99.506,,93.373,92.658,153.687,84.439,106.525,21.0,153.6,103.744,88.368,79.878,113.016,87.455,21.0,115.977,21.0,82.766,94.652,79.44,101.861,91.153,59.359,59.298
柴田裕一,81.665,93.95,,103.785,75.085,78.345,102.492,82.657,94.855,57.246,54.402,112.642,139.151,21.0,94.874,128.966,109.845,67.248,102.331,102.319,79.678,84.584,96.077,21.0,118.561
柴田善臣,83.959,109.371,,98.678,92.729,48.551,92.216,99.139,87.602,21.0,73.235,109.289,97.536,104.037,50.1,51.387,442.887,21.0,53.064,87.1,101.545,116.139,84.337,118.509,73.431
嶋田純次,113.07,98.423,,112.774,91.87,74.125,116.929,97.127,63.348,179.006,97.18,110.074,141.362,98.134,45.351,21.0,21.0,21.0,176.023,127.85,144.313,96.637,104.863,115.43,63.419
菅原隆一,48.313,62.751,,74.978,35.327,21.0,78.619,37.596,21.0,146.641,21.0,98.67,80.211,21.0,21.0,21.0,91.0,21.0,21.0,86.024,164.62,75.093,26.86,,21.0
菅原明良,99.966,98.224,,103.862,92.85,94.658,103.526,94.078,46.455,,100.087,102.11,104.768,90.313,105.225,90.514,194.949,112.813,99.628,100.407,93.287,100.478,98.399,92.025,116.304
杉原誠人,104.431,93.257,,100.538,98.157,72.505,97.808,100.89,74.445,140.612,99.39,103.247,90.178,104.197,103.448,21.0,21.0,86.072,104.725,110.216,93.753,98.922,96.919,89.513,169.419
高倉稜,96.161,101.891,,93.077,101.245,127.716,82.446,103.385,100.783,21.0,47.478,71.404,39.876,44.961,88.806,86.945,129.276,76.354,123.455,82.565,66.826,100.529,103.42,63.696,61.573
高杉吏麒,101.885,115.581,,116.892,102.04,95.297,107.552,110.287,100.098,96.063,104.824,82.928,115.182,,110.868,113.415,73.126,122.635,136.04,113.069,113.317,111.963,109.374,69.404,36.222
高田潤,95.141,46.758,90.422,21.0,47.435,91.727,76.459,90.283,,,131.65,81.262,138.055,58.119,33.138,92.937,114.238,98.843,146.851,21.0,21.0,79.98,21.0,98.996,21.0
田口貫太,98.985,110.852,,108.822,103.274,101.48,103.903,107.775,,,73.208,122.769,95.767,44.846,112.346,114.786,95.172,101.267,91.149,106.734,89.129,106.152,111.85,104.028,45.156
武豊,92.539,97.808,,93.993,95.775,95.271,95.561,94.664,92.905,98.073,40.375,92.767,95.425,83.08,96.547,92.496,93.398,117.997,94.791,93.345,89.129,94.147,93.803,110.224,102.629
太宰啓介,104.704,111.886,,109.423,108.293,146.538,107.366,110.122,,,91.226,132.149,21.0,21.0,102.976,112.618,104.563,117.831,110.304,102.407,177.208,99.311,109.972,123.472,41.036
田辺裕信,107.341,95.392,,100.216,98.404,126.224,103.884,97.623,134.563,,109.669,99.598,103.955,92.485,189.081,120.366,76.022,21.0,113.039,85.472,94.74,96.527,108.771,82.602,88.151
谷原柚希,21.0,92.257,,81.738,21.0,,76.626,57.659,,,100.486,21.0,117.0,21.0,21.0,,,,21.0,58.333,21.0,21.0,90.699,,
田村太雅,21.0,21.0,66.356,21.0,21.0,65.894,106.836,38.055,,,205.615,107.522,69.462,21.0,68.32,21.0,21.0,31.971,21.0,21.0,,45.622,21.0,75.454,
田山旺佑,91.42,115.825,,126.852,90.197,21.0,101.321,106.778,,,271.0,76.661,,,105.154,127.007,66.321,208.075,67.337,128.355,115.029,98.64,111.9,,21.0
丹内祐次,102.269,99.135,,96.747,103.711,103.968,99.193,101.443,108.326,101.159,92.13,104.496,77.067,97.616,84.198,124.055,67.783,107.365,102.824,99.807,72.85,101.147,104.837,85.035,93.888
団野大成,98.263,106.99,,100.61,105.386,104.721,104.941,101.829,102.803,109.414,134.829,114.942,140.522,88.127,99.131,96.592,112.656,103.71,111.625,110.626,89.663,96.817,110.421,92.979,108.125
土田真翔,70.068,56.169,150.699,82.583,36.075,98.998,60.768,117.512,282.686,21.0,105.574,57.354,21.0,78.785,191.85,436.33,21.0,45.706,21.0,42.29,21.0,112.13,71.741,53.031,
角田大和,108.427,105.525,,107.155,108.847,69.902,112.048,103.56,106.287,117.446,95.528,103.074,71.997,158.333,115.978,153.008,100.41,93.928,101.321,115.824,112.14,99.517,113.575,160.066,21.0
津村明秀,103.073,98.385,,101.507,99.203,115.1,105.966,95.739,,21.0,94.596,115.609,101.743,97.168,42.531,47.827,71.666,172.931,108.231,87.97,107.371,110.736,94.825,85.561,100.021
Ｍ．デム,103.366,103.291,,100.142,108.786,86.243,104.024,103.72,56.657,78.221,66.947,126.286,89.706,104.253,108.06,99.944,117.986,74.159,110.818,90.959,107.85,113.451,99.333,95.493,95.09
