調教師名,芝,ダート,障害,短距離,中距離,長距離,左回り,右回り,札幌,函館,福島,新潟,東京,中山,中京,京都,阪神,小倉,芝道悪,ダ道悪,新馬,未勝利,自己条件,OP,重賞,2歳,3歳,4歳,5歳以上,休明初戦,休明2走,休明3走,連闘
藤岡健一,-113,-271,,-25,-171,-228,259,-739,84,-211,-296,279,440,69,-254,-207,-404,133,946,-226,23,-466,277,-826,-456,261,-716,552,-876,-219,-274,233,0
藤沢則雄,-1700,-1264,-57,-2405,-507,-215,-1544,-1132,146,369,-63,-521,-172,-125,-833,-2067,-613,-200,40,-822,-244,-2065,-823,-105,0,-736,-1381,-222,-703,52,-348,-551,-309
藤原英昭,-1692,-514,-28,-1022,-1174,0,-447,-1906,148,24,19,-261,-518,-171,205,-1676,-675,-260,-1012,109,-338,-157,-1035,-686,-454,-418,-559,-631,-688,-1017,-278,-213,-41
堀宣行　,843,333,,139,801,292,967,223,-370,138,62,-389,1099,346,128,103,-196,114,79,617,423,-70,267,545,-6,340,67,-68,1049,1738,-402,-115,0
堀内岳志,1640,-2111,-706,1791,-2596,-973,2161,-2481,152,-423,-1159,-1399,2700,-1030,278,1270,-316,-451,1979,-194,1504,-1321,-593,-355,-158,1153,-1623,185,-3100,2588,-934,-1815,-45
本田優　,1037,480,-121,482,501,329,1758,-411,-178,-138,-128,262,232,-155,1173,85,326,-144,311,106,-168,449,767,-56,-452,-189,1975,0,-654,636,-498,968,-394
本間忍　,-541,-2195,66,-1603,-1110,-43,-683,-2132,12,-515,-1015,-974,-39,-839,255,-307,160,-212,-1056,-1349,691,-1260,-2435,416,58,-166,-1367,-807,-148,202,-601,-662,476
牧光二　,-76,-62,-5,62,16,-266,-275,-5,-302,250,59,72,100,-649,-883,9,152,-21,1,271,-119,471,-924,-183,0,158,271,-831,370,-332,-149,-524,-437
牧浦充徳,929,-95,,707,105,0,631,113,-120,98,445,13,8,237,439,-349,-562,104,-83,-527,431,-544,709,110,201,63,-187,411,588,-178,964,518,58
牧田和弥,-1414,-1150,231,-1908,-389,126,540,-3351,-382,-19,-161,-56,44,934,507,-1156,-1488,-708,-239,-1266,-178,-1283,-975,50,-93,-391,-1493,114,-594,-396,606,-283,97
松下武士,-682,-478,-197,-10,-1146,21,158,-1343,269,-117,-6,59,-59,55,115,396,-1190,-353,-786,-714,-84,-1176,-13,83,14,-633,-793,235,130,-266,406,-538,-102
松永昌博,21,1661,-235,572,1371,-454,310,1620,-6,32,93,-323,-710,13,617,1530,223,503,283,665,147,107,1269,-1171,-474,-502,1023,185,294,314,435,-98,86
松永幹夫,-744,2177,0,728,887,-47,365,1148,229,-215,573,160,175,609,-66,-396,734,-304,-489,947,36,259,497,650,105,12,723,-62,681,1072,533,403,-107
松永康利,-518,423,-454,-264,-215,-46,163,-387,-410,718,27,-789,600,-1238,-120,0,-79,-9,315,47,-575,216,164,-158,,-2358,1108,-530,510,578,-809,76,863
松山将樹,483,-867,-457,-487,-417,-254,190,-959,39,-280,705,394,81,-771,-736,-5,-395,-949,685,-275,473,-666,-466,-631,-79,28,-455,-665,18,541,984,-617,-146
的場均　,-1748,-1780,4,-3175,-815,-355,-3651,100,-221,674,-1088,-285,-2410,11,-1094,-568,-521,-115,-255,-1271,-735,-874,-3235,-79,-79,-1379,-867,-827,-985,-2306,-1124,-876,-1368
水野貴広,-1519,313,-97,-2245,506,-5,-2128,1024,288,60,66,-374,-1706,768,-201,571,-427,-521,-941,15,-1116,-1435,1018,-309,-79,-1944,86,649,-296,-172,-148,162,286
南田美知,-287,-2586,265,-2809,-1375,1087,-2443,-706,397,-365,-601,-108,-1136,-549,-1161,-263,-316,513,-985,-1278,-482,-1722,-1465,36,-158,-1574,-1094,-312,455,1421,-464,-814,-707
宮徹　　,380,-74,-102,19,-13,72,938,-704,133,131,20,353,-24,30,631,-385,-780,-553,881,342,-411,366,74,-170,-290,137,-116,324,-707,-210,-265,105,-32
宮田敬介,-1011,-838,-387,-1165,-628,-397,-456,-1429,-50,-51,-603,-213,-334,-584,-101,-468,-136,-158,-321,-500,-679,18,-676,-178,-244,-493,-505,-316,-886,-471,12,-700,-26
宮本博　,413,518,-81,-747,1364,168,-156,1392,179,-272,-50,90,-113,-15,-497,-703,1292,165,-15,581,-155,1698,-832,483,404,1082,613,-14,-898,906,-556,-612,-185
武藤善則,-30,-1028,-313,-1114,-450,162,-614,-155,433,227,-173,-240,-278,-1065,-194,359,-390,140,454,-280,-700,227,-981,-158,-305,-344,-283,-439,-217,-845,-762,-186,364
宗像義忠,2258,-518,111,1698,166,80,506,1447,-263,-43,389,-288,433,613,285,-70,501,-430,167,360,633,-881,326,2060,1127,528,-390,507,1016,882,-298,448,42
村田一誠,-3058,-2736,-162,-2610,-3178,-244,-1858,-3846,-347,248,-55,-731,-837,-2669,-947,-132,-473,-577,-1472,-1636,-795,-2686,-1941,-395,0,-1636,-2481,-213,-1803,-1439,-933,-154,-123
村山明　,1108,1288,-75,633,2075,-132,923,1585,807,210,705,370,604,309,43,68,-817,955,1322,744,759,146,1069,463,129,749,13,2280,-79,-7,0,81,1092
森秀行　,686,909,-98,1865,-304,47,536,1120,0,-135,494,9,644,636,95,-1632,151,627,-128,426,141,242,717,247,760,11,-89,1449,774,1571,59,19,32
森田直行,409,451,515,253,1109,279,486,285,-13,174,-33,452,166,49,242,656,-628,752,356,236,704,1411,-488,-115,132,473,106,49,942,465,-713,675,138
安田翔伍,45,900,0,914,177,55,118,937,-39,68,68,-6,399,59,-261,-694,730,236,1,454,-79,65,389,755,522,398,-630,234,573,731,35,155,-104
安田隆行,134,-1228,-36,317,-1319,-186,-470,-583,-424,139,-229,-106,77,53,-650,-272,-238,187,-98,1,-133,-954,-1133,730,192,-193,-1039,210,432,-849,85,97,-35
矢野英一,-2046,-342,-33,-729,-1343,-556,-360,-1641,-303,-75,-724,-792,777,-374,-813,-8,0,-51,-214,-773,-471,-197,-1269,-537,-147,-507,-241,-1482,-240,-356,-639,-122,-107
矢作芳人,-688,615,-162,672,-589,-121,-249,127,-308,49,233,11,232,121,-316,442,-259,-114,-666,326,-22,-879,146,1028,13,143,-805,-365,844,-366,-444,233,130
吉岡辰弥,704,1261,-140,1310,799,-122,1009,949,-167,-119,452,660,68,-552,266,1334,402,433,1132,529,-89,680,2063,-1005,-307,6,1739,0,-18,381,1052,31,-42
吉田直弘,-561,1051,-21,529,363,-183,-10,726,-498,-52,189,176,-33,257,-141,-310,636,-23,279,-26,104,-189,808,251,391,-135,726,1183,-826,282,324,85,-620
吉村圭司,534,1433,-30,2215,-225,-146,353,1667,-98,173,178,104,511,-95,-162,1153,28,604,319,1461,443,316,465,353,174,310,1379,-22,29,358,-203,-49,-110
和田正一,2503,-124,-4,1567,1148,-61,710,1738,281,218,734,194,795,147,-139,225,-168,511,841,171,-20,986,1247,159,120,569,1498,293,8,-786,953,950,-156
和田雄二,996,-938,374,-34,42,125,-1174,852,595,-308,752,-596,-784,801,31,-395,-319,-539,-315,539,1384,1395,-1566,-216,-101,1251,893,-1916,318,-410,-548,12,-182
和田勇介,263,137,9,-842,1068,208,230,139,-242,-35,769,215,30,44,-97,-263,53,-370,-219,-166,-82,858,-610,-257,-158,-261,1300,-801,-96,429,149,83,-186
渡辺薫彦,1117,-782,-6,-474,471,78,-218,543,-506,-68,199,-188,78,0,-82,313,401,213,277,-343,684,-593,348,-292,-134,468,-233,-262,429,-861,260,300,-322
