場所,R,馬番,馬名,調教師名,調教師妙味度_1,調教師妙味度_2,調教師妙味度_3,調教師妙味度_4,調教師妙味度_5,調教師妙味度_6,調教師妙味度_7,調教師妙味度_8,調教師妙味度,調教師妙味度順位
新潟,2,7,ビッキーセカンド,武井亮　,100.0,109.0,110.0,114.0,104.0,100.0,,,106.167,7.0
新潟,2,8,オトシダマ,金成貴史,90.0,107.0,113.0,110.0,102.0,100.0,,,103.667,8.0
新潟,2,9,ウルトラハート,中尾秀正,139.0,98.0,104.0,109.0,101.0,98.0,,,108.167,3.0
新潟,2,10,マツリダシリウス,水野貴広,96.0,100.0,106.0,89.0,108.0,83.0,,,97.0,11.0
新潟,2,11,アスパラゴ,田村康仁,88.0,98.0,97.0,101.0,92.0,99.0,,,95.833,12.0
新潟,2,12,ニシノロッドマン,矢嶋大樹,52.0,117.0,82.0,86.0,71.0,85.0,,,82.167,13.0
新潟,2,13,ウインターブレス,竹内正洋,105.0,103.0,107.0,124.0,96.0,112.0,,,107.833,4.0
新潟,2,14,テンバコウクウ,柄崎将寿,,,,,,,,,,
新潟,3,1,ニシノセイエス,前川恭子,,,,,,,,,,
新潟,3,2,ユイノピカゴロウ,深山雅史,118.0,105.0,109.0,110.0,106.0,87.0,,,105.833,6.0
新潟,3,3,レッドアイスピア,中竹和也,108.0,107.0,113.0,110.0,102.0,107.0,,,107.833,4.0
新潟,3,4,ニシノメイホウ,北出成人,106.0,108.0,113.0,105.0,114.0,109.0,101.0,,108.0,3.0
新潟,3,5,メテオロイド,宮地貴稔,168.0,220.0,214.0,122.0,92.0,,,,163.2,1.0
新潟,3,6,ラブソング,尾関知人,92.0,92.0,93.0,85.0,85.0,87.0,,,89.0,15.0
新潟,3,7,ハヤテノオジョー,杉山佳明,89.0,112.0,100.0,118.0,108.0,111.0,,,106.333,5.0
新潟,3,8,ヒバリノコ,北出成人,106.0,108.0,113.0,105.0,114.0,109.0,,,109.167,2.0
新潟,3,9,ドリーマーズ,伊藤大士,93.0,94.0,94.0,88.0,93.0,91.0,,,92.167,13.0
新潟,3,10,ヨドノティアラ,矢嶋大樹,52.0,117.0,84.0,86.0,90.0,85.0,,,85.667,16.0
新潟,3,11,ナンヨーラーク,杉浦宏昭,80.0,105.0,103.0,100.0,105.0,95.0,98.0,,98.0,8.0
新潟,3,12,ハッピーラッキー,武市康男,92.0,82.0,100.0,99.0,86.0,98.0,,,92.833,11.0
新潟,3,13,イソダ,尾形和幸,84.0,94.0,103.0,90.0,87.0,90.0,,,91.333,14.0
新潟,3,14,ガラベイヤ,加藤士津,88.0,94.0,96.0,105.0,98.0,97.0,,,96.333,10.0
新潟,3,15,オレンジリバー,黒岩陽一,89.0,91.0,103.0,95.0,106.0,105.0,94.0,,97.571,9.0
新潟,3,16,シャンデヴィーニュ,秋山真一,,,,,,,,,,
新潟,3,17,サマーブリーズ,森田直行,113.0,113.0,100.0,99.0,111.0,98.0,,,105.667,7.0
新潟,3,18,カシノリアーナ,天間昭一,92.0,98.0,96.0,104.0,89.0,76.0,,,92.5,12.0
新潟,4,1,オウケンヴィーナス,松永康利,82.0,101.0,102.0,94.0,97.0,93.0,97.0,,95.143,10.0
新潟,4,2,ライヴスプーン,尾形和幸,84.0,100.0,85.0,95.0,103.0,90.0,,,92.833,12.0
新潟,4,3,アイムアクイーン,荒川義之,103.0,118.0,113.0,118.0,111.0,127.0,,,115.0,1.0
新潟,4,4,アンジュグルーヴ,安田翔伍,92.0,97.0,100.0,97.0,101.0,100.0,97.0,,97.714,8.0
新潟,4,5,ステラスプレンダー,石坂公一,93.0,97.0,101.0,109.0,108.0,101.0,,,101.5,7.0
新潟,4,6,キタノマーシャル,奥平雅士,96.0,98.0,97.0,95.0,102.0,82.0,,,95.0,11.0
新潟,4,7,シンボリノエル,土田稔　,73.0,90.0,68.0,97.0,82.0,69.0,,,79.833,14.0
新潟,4,8,ルージュマローネ,栗田徹　,93.0,90.0,90.0,89.0,98.0,92.0,,,92.0,13.0
新潟,4,9,イッシンフラン,竹内正洋,105.0,108.0,107.0,99.0,96.0,112.0,88.0,,102.143,6.0
新潟,4,10,メイショウウメゴチ,高橋義忠,88.0,97.0,96.0,100.0,98.0,92.0,101.0,,96.0,9.0
新潟,4,11,ドゥラリス,吉岡辰弥,113.0,113.0,107.0,110.0,104.0,107.0,94.0,,106.857,2.0
新潟,4,12,フォンデネージュ,武井亮　,100.0,102.0,110.0,105.0,104.0,100.0,,,103.5,3.0
新潟,4,13,ヴァズレーヌ,嘉藤貴行,85.0,101.0,104.0,116.0,103.0,102.0,108.0,,102.714,5.0
新潟,4,14,サイモンポーリア,根本康広,112.0,95.0,108.0,97.0,106.0,99.0,,,102.833,4.0
新潟,5,1,コブラツイスト,石栗龍彦,111.0,150.0,106.0,105.0,111.0,113.0,,,116.0,1.0
新潟,5,2,ローズライズ,伊藤圭三,84.0,93.0,103.0,90.0,101.0,99.0,,,95.0,9.0
新潟,5,3,スピットブレイク,新開幸一,94.0,104.0,95.0,99.0,94.0,90.0,,,96.0,8.0
新潟,5,4,アルサック,西園正都,94.0,103.0,111.0,98.0,103.0,107.0,,,102.667,3.0
新潟,5,5,サドルトウショウ,萱野浩二,104.0,79.0,90.0,92.0,95.0,96.0,,,92.667,11.0
新潟,5,6,ジェイエルキャリア,小西一男,89.0,130.0,98.0,77.0,93.0,90.0,,,96.167,7.0
新潟,5,7,サンライズロイ,牧浦充徳,97.0,112.0,105.0,90.0,107.0,101.0,,,102.0,5.0
新潟,5,8,ジョリュウジャンシ,南田美知,102.0,93.0,77.0,61.0,67.0,73.0,,,78.833,15.0
新潟,5,9,ナムラオットー,荒川義之,103.0,54.0,113.0,79.0,107.0,127.0,,,97.167,6.0
新潟,5,10,マメーアップル,岩戸孝樹,91.0,74.0,93.0,87.0,89.0,92.0,,,87.667,13.0
新潟,5,11,シンシア,蛯名正義,106.0,91.0,98.0,124.0,104.0,92.0,,,102.5,4.0
新潟,5,12,ジャックナダル,伊坂重信,76.0,122.0,88.0,94.0,89.0,90.0,,,93.167,10.0
新潟,5,13,ニシノゲッパク,伊藤伸一,91.0,88.0,82.0,98.0,94.0,89.0,,,90.333,12.0
新潟,5,14,フクシマグランツ,松永康利,82.0,65.0,102.0,55.0,95.0,93.0,,,82.0,14.0
新潟,5,15,カワキタベレッタ,角田晃一,127.0,109.0,102.0,97.0,101.0,114.0,,,108.333,2.0
新潟,6,1,ブリスフル,武市康男,92.0,97.0,84.0,100.0,96.0,98.0,,,94.5,12.0
新潟,6,2,トクシージェネラル,辻哲英　,101.0,108.0,99.0,81.0,112.0,111.0,110.0,,103.143,3.0
新潟,6,3,グランエシェゾー,高橋文雅,86.0,99.0,100.0,117.0,87.0,94.0,,,97.167,9.0
新潟,6,4,チェイスザウィンド,石栗龍彦,111.0,110.0,106.0,93.0,81.0,113.0,94.0,,101.143,7.0
新潟,6,5,コスモフレディ,水野貴広,96.0,102.0,106.0,102.0,108.0,83.0,115.0,,101.714,6.0
新潟,6,6,ゴールデンクラウド,小林真也,101.0,113.0,110.0,105.0,98.0,101.0,104.0,,104.571,1.0
新潟,6,7,ブルーゴールド,根本康広,112.0,95.0,108.0,97.0,106.0,99.0,,,102.833,4.0
新潟,6,8,キャストロププ,尾形和幸,84.0,100.0,85.0,95.0,103.0,90.0,113.0,,95.714,10.0
新潟,6,9,スマートクラビ,中村直也,115.0,102.0,98.0,99.0,113.0,99.0,93.0,,102.714,5.0
新潟,6,10,レイワサンサン,高柳大輔,108.0,108.0,107.0,90.0,102.0,105.0,112.0,,104.571,1.0
新潟,6,11,ブレイクバウンズ,林徹　　,90.0,95.0,94.0,99.0,102.0,91.0,93.0,,94.857,11.0
新潟,6,12,ルクスメンデス,小崎憲　,91.0,91.0,98.0,100.0,108.0,110.0,86.0,,97.714,8.0
新潟,6,13,ハイクオリティ,今野貞一,93.0,98.0,98.0,89.0,91.0,97.0,,,94.333,13.0
新潟,6,14,イスタンテ,矢野英一,85.0,86.0,92.0,75.0,77.0,91.0,92.0,,85.429,14.0
新潟,6,15,イーブンナウ,東田明士,,,,,,,,,,
新潟,7,1,スピアッジャローザ,蛯名利弘,110.0,92.0,72.0,103.0,85.0,80.0,,,90.333,17.0
新潟,7,2,ミエノフェアリー,古賀慎明,92.0,98.0,101.0,105.0,97.0,101.0,,,99.0,12.0
新潟,7,3,カレンラップスター,小林真也,101.0,113.0,94.0,105.0,98.0,101.0,104.0,,102.286,8.0
新潟,7,4,サトノシュタール,国枝栄　,81.0,97.0,95.0,86.0,95.0,94.0,,,91.333,16.0
新潟,7,5,ゴールドジェスター,中川公成,104.0,101.0,89.0,105.0,85.0,107.0,98.0,,98.429,13.0
新潟,7,6,オーサムピクチャ,佐々木晶,146.0,106.0,105.0,98.0,97.0,110.0,,,110.333,1.0
新潟,7,7,ウインリベラシオン,緒方努　,46.0,87.0,73.0,99.0,72.0,56.0,73.0,,72.286,18.0
新潟,7,8,レッドイステル,友道康夫,117.0,95.0,102.0,95.0,99.0,107.0,102.0,,102.429,7.0
新潟,7,9,ヴォラヴィア,杉山佳明,89.0,99.0,100.0,104.0,109.0,111.0,,,102.0,9.0
新潟,7,10,ポタリング,武藤善則,85.0,97.0,104.0,103.0,91.0,89.0,92.0,,94.429,15.0
新潟,7,11,ツインクルステージ,高木登　,117.0,94.0,105.0,108.0,109.0,110.0,103.0,,106.571,4.0
新潟,7,12,リオンプライム,鈴木孝志,101.0,98.0,86.0,98.0,103.0,88.0,,,95.667,14.0
新潟,7,13,ハニードレス,牧光二　,113.0,96.0,106.0,106.0,111.0,105.0,,,106.167,5.0
新潟,7,14,ソルトブリーズ,田中剛　,97.0,103.0,103.0,105.0,116.0,100.0,118.0,,106.0,6.0
新潟,7,15,アンドローゼス,加藤士津,88.0,103.0,96.0,108.0,106.0,97.0,100.0,,99.714,11.0
新潟,7,16,プレミアシップ,吉岡辰弥,113.0,113.0,102.0,110.0,104.0,107.0,115.0,,109.143,2.0
新潟,7,17,ムゾラシカ,根本康広,112.0,95.0,93.0,107.0,106.0,99.0,,,102.0,9.0
新潟,7,18,ロジルーラー,稲垣幸雄,101.0,113.0,101.0,114.0,106.0,110.0,103.0,,106.857,3.0
新潟,8,1,ミッキーマカパ,田中博康,81.0,101.0,101.0,102.0,95.0,94.0,90.0,,94.857,9.0
新潟,8,2,ゲーベル,渡辺薫彦,94.0,108.0,94.0,100.0,96.0,95.0,104.0,,98.714,6.0
新潟,8,3,ライヴドライバー,尾形和幸,84.0,100.0,85.0,95.0,87.0,90.0,,,90.167,12.0
新潟,8,4,メイショウハボマイ,本田優　,115.0,104.0,98.0,98.0,99.0,115.0,,,104.833,3.0
新潟,8,5,ゲクウ,小手川準,134.0,91.0,106.0,90.0,99.0,101.0,,,103.5,5.0
新潟,8,6,ダニエルバローズ,杉山晴紀,99.0,106.0,105.0,106.0,106.0,107.0,109.0,,105.429,2.0
新潟,8,7,アイファーリーベン,的場均　,66.0,63.0,73.0,59.0,68.0,47.0,,,62.667,15.0
新潟,8,8,ノビル,鈴木孝志,101.0,98.0,104.0,101.0,92.0,88.0,85.0,,95.571,8.0
新潟,8,9,エスグラシア,加藤和宏,86.0,92.0,89.0,76.0,91.0,98.0,,,88.667,14.0
新潟,8,10,ディニトーソ,辻野泰之,96.0,102.0,104.0,108.0,111.0,108.0,,,104.833,3.0
新潟,8,11,ペイシャスウィフト,本間忍　,105.0,76.0,88.0,63.0,97.0,105.0,91.0,,89.286,13.0
新潟,8,12,トモサカエ,大竹正博,100.0,81.0,91.0,85.0,96.0,99.0,95.0,,92.429,11.0
新潟,8,13,サンライズジュピタ,石坂公一,93.0,97.0,101.0,100.0,97.0,101.0,,,98.167,7.0
新潟,8,14,トモジャアルマンド,大根田裕,122.0,103.0,114.0,112.0,104.0,109.0,96.0,,108.571,1.0
新潟,8,15,アツキヤマト,小西一男,89.0,93.0,98.0,93.0,93.0,90.0,,,92.667,10.0
新潟,9,1,グランセゾン,栗田徹　,93.0,90.0,97.0,89.0,98.0,92.0,,,93.167,14.0
新潟,9,2,レーヴドロペラ,加藤士津,88.0,103.0,96.0,90.0,106.0,97.0,100.0,,97.143,10.0
新潟,9,3,テイキットイージー,萱野浩二,104.0,92.0,102.0,119.0,96.0,96.0,,,101.5,5.0
新潟,9,4,ラブカ,今野貞一,93.0,98.0,86.0,96.0,91.0,97.0,,,93.5,12.0
新潟,9,5,ドマーネ,辻野泰之,96.0,102.0,109.0,108.0,104.0,108.0,,,104.5,3.0
新潟,9,6,イゾレエオリア,伊藤大士,93.0,95.0,94.0,97.0,91.0,91.0,,,93.5,12.0
新潟,9,7,ハルノドゥミプリエ,勢司和浩,107.0,91.0,95.0,85.0,89.0,83.0,109.0,,94.143,11.0
新潟,9,8,ジェットブレード,青木孝文,90.0,106.0,103.0,101.0,101.0,85.0,,,97.667,9.0
新潟,9,9,コスモイシュタル,深山雅史,118.0,99.0,109.0,100.0,102.0,87.0,,,102.5,4.0
新潟,9,10,ペリプルス,佐藤吉勝,82.0,109.0,83.0,187.0,90.0,102.0,,,108.833,1.0
新潟,9,11,ハナアヤメ,昆貢　　,104.0,89.0,98.0,91.0,101.0,98.0,112.0,,99.0,7.0
新潟,9,12,スイートオレンジ,中川公成,104.0,101.0,89.0,105.0,85.0,107.0,,,98.5,8.0
新潟,9,13,デルタフォー,藤岡健一,122.0,106.0,99.0,100.0,101.0,107.0,,,105.833,2.0
新潟,9,14,ビップチェイス,田島俊明,101.0,103.0,92.0,105.0,102.0,104.0,,,101.167,6.0
新潟,9,15,トラストモアリズム,高橋文雅,86.0,99.0,95.0,90.0,87.0,94.0,83.0,,90.571,15.0
新潟,10,1,イナフセド,小林真也,101.0,113.0,110.0,106.0,106.0,101.0,,,106.167,4.0
新潟,10,2,モリノセピア,鈴木伸尋,93.0,90.0,91.0,87.0,96.0,87.0,,,90.667,12.0
新潟,10,3,サンディブロンド,鈴木慎太,117.0,98.0,109.0,100.0,113.0,108.0,,,107.5,3.0
新潟,10,4,ダークンストーミー,小笠倫弘,125.0,100.0,100.0,112.0,104.0,99.0,98.0,,105.429,6.0
新潟,10,5,ザウリ,森田直行,113.0,100.0,110.0,116.0,111.0,98.0,93.0,,105.857,5.0
新潟,10,6,ダズリングダンス,小椋研介,121.0,71.0,77.0,73.0,78.0,91.0,,,85.167,14.0
新潟,10,7,バンブトンプロ,粕谷昌央,91.0,78.0,93.0,92.0,104.0,86.0,,,90.667,12.0
新潟,10,8,ホワイトターフ,清水英克,116.0,112.0,90.0,94.0,100.0,97.0,,,101.5,8.0
新潟,10,9,ヴェラリーシャ,伊藤圭三,84.0,108.0,103.0,106.0,101.0,99.0,114.0,,102.143,7.0
新潟,10,10,ファムエレガンテ,中村直也,115.0,102.0,98.0,99.0,85.0,99.0,93.0,,98.714,9.0
新潟,10,11,ジャスパーバローズ,清水久詞,83.0,96.0,88.0,118.0,98.0,91.0,100.0,,96.286,10.0
新潟,10,12,ミスエル,菊沢隆徳,126.0,101.0,100.0,104.0,109.0,111.0,,,108.5,2.0
新潟,10,13,スペキオサレジーナ,森一誠　,116.0,92.0,107.0,77.0,88.0,84.0,84.0,,92.571,11.0
新潟,10,14,ストリンジェンド,加藤公太,,,,,,,,,,
新潟,10,15,オーロラアーク,石栗龍彦,111.0,110.0,106.0,112.0,111.0,113.0,124.0,,112.429,1.0
新潟,11,1,イサチルシーサイド,竹内正洋,105.0,108.0,102.0,112.0,112.0,112.0,88.0,,105.571,4.0
新潟,11,2,アルトシュタット,安田翔伍,92.0,97.0,103.0,108.0,104.0,100.0,97.0,,100.143,9.0
新潟,11,3,パクスロマーナ,加藤公太,,,,,,,,,,
新潟,11,4,ウルトラソニック,中尾秀正,139.0,110.0,103.0,87.0,106.0,98.0,105.0,,106.857,3.0
新潟,11,5,テイエムタリスマ,高橋一哉,67.0,91.0,95.0,151.0,75.0,70.0,,,91.5,15.0
新潟,11,6,レッドエヴァンス,東田明士,,,,,,,,,,
新潟,11,7,ショウナンラスボス,奥村武　,96.0,100.0,101.0,84.0,102.0,96.0,,,96.5,12.0
新潟,11,8,グレタ,清水英克,116.0,112.0,119.0,94.0,100.0,97.0,118.0,,108.0,2.0
新潟,11,9,エコロジーク,森秀行　,110.0,111.0,106.0,98.0,109.0,108.0,94.0,,105.143,5.0
新潟,11,10,ソノママソノママ,奥村豊　,96.0,100.0,107.0,104.0,106.0,101.0,,,102.333,8.0
新潟,11,11,アスティスプマンテ,佐藤悠太,,,,,,,,,,
新潟,11,12,フリッカージャブ,西園翔太,117.0,117.0,104.0,109.0,103.0,107.0,102.0,,108.429,1.0
新潟,11,13,ルーフ,清水久詞,83.0,96.0,101.0,118.0,98.0,91.0,,,97.833,11.0
新潟,11,14,ハピネスアゲン,萱野浩二,104.0,92.0,102.0,79.0,95.0,96.0,102.0,,95.714,13.0
