場所,R,馬番,馬名,騎手利益度,騎手利益度順位,種牡馬利益度,種牡馬利益度順位,調教師利益度,調教師利益度順位,総合利益度,総合利益度順位
福島,3,14,ウインブリザード,-10227.0,13.0,4084.0,2.0,4650.0,4.0,-1.493,7.0
福島,3,15,ベルランコントル,9556.0,2.0,2370.0,6.0,-4725.0,12.0,7.201,3.0
福島,3,16,ピコマーキス,,,1155.0,8.0,5231.0,3.0,,
福島,4,1,ニシノヒンメル,280.0,5.0,,,3346.0,4.0,,
福島,4,2,ロンドンオービタル,-1952.0,7.0,1454.0,3.0,-8688.0,12.0,-9.186,5.0
福島,4,3,タヤスロレンヌ,-2313.0,8.0,1040.0,4.0,-8688.0,12.0,-9.961,6.0
福島,4,4,ビタールート,2175.0,3.0,,,5431.0,2.0,,
福島,4,5,カレンデュラ,508.0,4.0,-10375.0,11.0,-13560.0,14.0,-23.427,7.0
福島,4,6,テイエムスワーブ,,,-6738.0,9.0,-17280.0,15.0,,
福島,4,7,ロジスカヤ,,,-3292.0,6.0,-4399.0,8.0,,
福島,4,8,バランソワール,-1857.0,6.0,,,-5536.0,9.0,,
福島,4,9,レッドアイスピア,-8949.0,13.0,-1121.0,5.0,5901.0,1.0,-4.169,4.0
福島,4,10,ゴールドパレード,-3593.0,10.0,4481.0,1.0,-3551.0,7.0,-2.663,2.0
福島,4,11,エイシンウィゾール,5908.0,2.0,3134.0,2.0,2952.0,5.0,11.994,1.0
福島,4,12,タナスーペルノーバ,-5037.0,12.0,,,-5613.0,10.0,,
福島,4,13,エコロアビス,-3112.0,9.0,-5411.0,8.0,4676.0,3.0,-3.847,3.0
福島,4,14,サフランメロディ,,,-6883.0,10.0,591.0,6.0,,
福島,4,15,ナクソス,-4054.0,11.0,-3435.0,7.0,,,,
福島,4,16,カイトヴァイター,14353.0,1.0,,,-6450.0,11.0,,
福島,5,1,サイオウガウマ,-556.0,8.0,-2282.0,10.0,-3484.0,11.0,-6.322,11.0
福島,5,2,アイスアイスベイビ,9509.0,1.0,3573.0,2.0,-7463.0,15.0,5.619,3.0
福島,5,3,パルミエ,-4269.0,12.0,-2992.0,11.0,-4153.0,12.0,-11.414,12.0
福島,5,4,エアトベーレ,1439.0,5.0,-6362.0,14.0,3072.0,4.0,-1.851,8.0
福島,5,5,ウインポーシャ,5506.0,3.0,3145.0,3.0,-7215.0,14.0,1.436,4.0
福島,5,6,ベルトラッキ,,,-637.0,9.0,-383.0,5.0,,
福島,5,7,キョウエイシュバル,-4594.0,14.0,6822.0,1.0,-2469.0,10.0,-0.241,6.0
福島,5,8,カイキアス,-1452.0,10.0,-3008.0,12.0,3554.0,2.0,-0.906,7.0
福島,5,9,ショウグンマサムネ,-5043.0,15.0,-4007.0,13.0,,,,
福島,5,10,フォーチュンローズ,-1287.0,9.0,1875.0,6.0,5754.0,1.0,6.342,2.0
福島,5,11,ノーブルスアーク,108.0,6.0,712.0,8.0,-1029.0,6.0,-0.209,5.0
福島,5,12,メジロピオラ,7618.0,2.0,3145.0,3.0,3124.0,3.0,13.887,1.0
福島,5,13,グルノーブル,3059.0,4.0,,,-5152.0,13.0,,
福島,5,14,タイキヴィグルーズ,-3609.0,11.0,1875.0,6.0,-2249.0,8.0,-3.983,10.0
福島,5,15,シンショク,-4430.0,13.0,2794.0,5.0,-1029.0,6.0,-2.665,9.0
福島,5,16,ホウオウストライク,45.0,7.0,,,-2381.0,9.0,,
福島,6,1,ラテライト,-13715.0,13.0,-269.0,7.0,-1683.0,14.0,-15.667,12.0
福島,6,2,キャストロププ,6513.0,2.0,4383.0,4.0,-3091.0,15.0,7.805,5.0
福島,6,3,ハルフロンティア,,,-9897.0,15.0,1680.0,9.0,,
福島,6,4,シーリュウシー,-7853.0,12.0,-1036.0,11.0,1018.0,11.0,-7.871,11.0
福島,6,5,ルシタニア,,,-8629.0,14.0,3435.0,4.0,,
福島,6,6,セーデルマンランド,4647.0,3.0,64.0,6.0,4556.0,2.0,9.267,4.0
福島,6,7,プルーヴンウィナー,-925.0,7.0,16130.0,1.0,1255.0,10.0,16.46,3.0
福島,6,8,リアンクトワ,3990.0,4.0,12272.0,2.0,2843.0,6.0,19.105,2.0
福島,6,9,イエローブリック,870.0,5.0,-269.0,7.0,2948.0,5.0,3.549,7.0
福島,6,10,ピストルスター,,,-3282.0,13.0,555.0,12.0,,
福島,6,11,ホウオウラムセス,-5028.0,11.0,-21872.0,16.0,-5374.0,16.0,-32.274,13.0
福島,6,12,ダンツドール,-4344.0,10.0,-2393.0,12.0,6069.0,1.0,-0.668,10.0
福島,6,13,ベイラム,-966.0,8.0,-795.0,10.0,2502.0,7.0,0.741,9.0
福島,6,14,シドニーホバート,498.0,6.0,-678.0,9.0,3739.0,3.0,3.559,6.0
福島,6,15,ジャスティンライズ,7099.0,1.0,10647.0,3.0,1886.0,8.0,19.632,1.0
福島,6,16,オオタチ,-1214.0,9.0,4199.0,5.0,59.0,13.0,3.044,8.0
福島,7,1,セイウンデセオ,-3983.0,7.0,-3490.0,9.0,-4018.0,10.0,-11.491,10.0
福島,7,2,イリスアスール,-2392.0,6.0,8166.0,3.0,1949.0,6.0,7.723,2.0
福島,7,3,ヴィヴァラリス,-5885.0,8.0,1087.0,6.0,-4679.0,12.0,-9.477,9.0
福島,7,4,リアンエターナル,105.0,4.0,17967.0,1.0,653.0,7.0,18.725,1.0
福島,7,5,ダノンモンテローザ,,,-4141.0,12.0,-4129.0,11.0,,
福島,7,6,フリントロック,,,-2132.0,7.0,3253.0,5.0,,
福島,7,7,ブルーレース,-16109.0,13.0,3301.0,4.0,4353.0,3.0,-8.455,7.0
福島,7,8,アーコレード,8174.0,1.0,-9073.0,16.0,419.0,8.0,-0.48,5.0
福島,7,9,ジェニファー,-10100.0,11.0,-3518.0,10.0,48.0,9.0,-13.57,11.0
福島,7,10,クインズスピカ,,,2038.0,5.0,-8314.0,16.0,,
福島,7,11,ルブリアン,3633.0,3.0,-2263.0,8.0,3387.0,4.0,4.757,4.0
福島,7,12,ジョリーレーヌ,-1907.0,5.0,-8976.0,15.0,-5637.0,13.0,-16.52,12.0
福島,7,13,ペガサスノース,-7112.0,9.0,-6392.0,14.0,4747.0,2.0,-8.757,8.0
福島,7,14,アーサーズウェイン,-8431.0,10.0,-5199.0,13.0,-6587.0,14.0,-20.217,13.0
福島,7,15,アウクソー,3826.0,2.0,-4059.0,11.0,-7051.0,15.0,-7.284,6.0
福島,7,16,チャージドアップ,-11175.0,12.0,10621.0,2.0,6418.0,1.0,5.864,3.0
福島,8,1,ブリヤディアマンテ,-3005.0,10.0,-4597.0,16.0,3121.0,4.0,-4.481,11.0
福島,8,2,マイファミリー,6646.0,3.0,1798.0,10.0,4252.0,3.0,12.696,3.0
福島,8,3,グローリアミノル,-3134.0,11.0,852.0,13.0,,,,
福島,8,4,ウインイルネージュ,-506.0,6.0,3211.0,7.0,4558.0,2.0,7.263,6.0
福島,8,5,ウールデュボヌール,-134.0,5.0,4413.0,4.0,660.0,5.0,4.939,7.0
福島,8,6,エバーステイ,-890.0,7.0,9572.0,3.0,461.0,6.0,9.143,5.0
福島,8,7,リポサンテ,9969.0,1.0,2416.0,9.0,-1545.0,9.0,10.84,4.0
福島,8,8,アオラキ,-1827.0,9.0,278.0,14.0,-4452.0,14.0,-6.001,12.0
福島,8,9,ファームツエンティ,3377.0,4.0,20767.0,1.0,4644.0,1.0,28.788,1.0
福島,8,10,ロードアフェット,7567.0,2.0,19685.0,2.0,-2269.0,11.0,24.983,2.0
福島,8,11,ニホンピロゴルディ,-1403.0,8.0,3536.0,5.0,-2528.0,12.0,-0.395,8.0
福島,8,12,ウインリュクス,-3832.0,12.0,1753.0,12.0,-2116.0,10.0,-4.195,10.0
福島,8,13,マーゴットソラーレ,,,1787.0,11.0,-7808.0,15.0,,
福島,8,14,マイネルアウルム,-9829.0,14.0,3536.0,5.0,-3046.0,13.0,-9.339,13.0
福島,8,15,エオアリイ,,,-3512.0,15.0,-278.0,7.0,,
福島,8,16,エリナ,-4543.0,13.0,2790.0,8.0,-644.0,8.0,-2.397,9.0
福島,9,1,マテンロウギフト,-1078.0,9.0,-2326.0,10.0,-3940.0,12.0,-7.344,10.0
福島,9,2,インパクトシー,225.0,7.0,1430.0,6.0,-5157.0,14.0,-3.502,8.0
福島,9,3,トゥルーサクセサー,-3123.0,12.0,-7418.0,12.0,2151.0,5.0,-8.39,11.0
福島,9,4,フェアリーグレン,-929.0,8.0,-11322.0,14.0,-978.0,10.0,-13.229,13.0
福島,9,5,ケイツークローン,9096.0,2.0,1231.0,7.0,6501.0,1.0,16.828,1.0
福島,9,6,ジーティームッシュ,7748.0,3.0,3999.0,4.0,-5440.0,15.0,6.307,6.0
福島,9,7,ウインベラーノ,-5142.0,13.0,-1690.0,9.0,751.0,7.0,-6.081,9.0
福島,9,8,フィングステン,3862.0,5.0,10639.0,2.0,1836.0,6.0,16.337,2.0
