場所,R,馬番,馬名,調教師名,調教師利益度_1,調教師利益度_2,調教師利益度_3,調教師利益度_4,調教師利益度_5,調教師利益度_6,調教師利益度_7,調教師利益度_8,調教師利益度,調教師利益度順位
東京,9,4,ケイツーギルダー,千葉直人,,,,,,,,,,
東京,9,5,スリーピース,武井亮　,293.0,203.0,320.0,1373.0,181.0,580.0,,,2950.0,4.0
東京,9,6,ルークススペイ,伊藤圭三,-1056.0,-235.0,-1372.0,-818.0,-1515.0,-1376.0,,,-6372.0,14.0
東京,9,7,オカメノコイ,小笠倫弘,-94.0,1258.0,1403.0,-152.0,961.0,461.0,603.0,,4440.0,1.0
東京,9,8,フィドルファドル,矢作芳人,232.0,146.0,615.0,143.0,672.0,-249.0,,,1559.0,5.0
東京,9,9,ポールセン,斎藤誠　,420.0,-247.0,967.0,-148.0,1812.0,261.0,,,3065.0,3.0
東京,9,10,ユウトザユウト,小崎憲　,645.0,-1688.0,-396.0,-1132.0,-1812.0,180.0,,,-4203.0,12.0
東京,9,11,コウユーモジョカー,斉藤崇史,190.0,-822.0,-145.0,-102.0,-114.0,-479.0,-224.0,,-1696.0,11.0
東京,9,12,シャドウキャッスル,藤原英昭,-518.0,-1035.0,-514.0,-418.0,-1022.0,-447.0,-278.0,,-4232.0,13.0
東京,9,13,ドントゥザムーン,高木登　,1184.0,-1539.0,18.0,46.0,-819.0,453.0,,,-657.0,9.0
東京,9,14,プロミストジーン,上原佑紀,62.0,2033.0,-8.0,-1137.0,1222.0,-958.0,,,1214.0,7.0
東京,9,15,サノノワンダー,栗田徹　,-778.0,-1532.0,-1728.0,152.0,-1705.0,-1090.0,,,-6681.0,15.0
東京,9,16,ハリーケーン,大根田裕,0.0,162.0,2337.0,-145.0,438.0,463.0,,,3255.0,2.0
東京,10,1,コスモエスパーダ,天間昭一,-1014.0,-1160.0,-166.0,-758.0,813.0,-2989.0,,,-5274.0,11.0
東京,10,2,プリモカリーナ,福永祐一,,,,,,,,,,
東京,10,3,ヤマニンデンファレ,辻哲英　,759.0,1419.0,1254.0,1018.0,779.0,1113.0,,,6342.0,1.0
東京,10,4,ヴィルヘルム,小椋研介,,,,,,,,,,
東京,10,5,レッドシュヴェルト,尾関知人,-1524.0,-429.0,-976.0,229.0,-2013.0,-2187.0,,,-6900.0,12.0
東京,10,6,ベガリス,高橋義忠,234.0,-270.0,-523.0,112.0,-262.0,-86.0,,,-795.0,7.0
東京,10,7,セントメモリーズ,斎藤誠　,420.0,-247.0,-642.0,738.0,1812.0,261.0,-23.0,,2319.0,4.0
東京,10,8,サトミノキラリ,鈴木伸尋,-441.0,-1082.0,-111.0,320.0,123.0,-1162.0,,,-2353.0,10.0
東京,10,9,オメガウインク,大和田成,1288.0,295.0,1456.0,398.0,1332.0,1664.0,-197.0,,6236.0,2.0
東京,10,10,アバンチュリエ,大竹正博,159.0,-1710.0,123.0,266.0,13.0,-83.0,,,-1232.0,9.0
東京,10,11,ガロンヌ,上村洋行,92.0,1181.0,1226.0,1157.0,-393.0,538.0,-75.0,,3726.0,3.0
東京,10,12,ショウナンラスボス,奥村武　,-145.0,191.0,-382.0,-504.0,543.0,-557.0,,,-854.0,8.0
東京,10,13,キャプテンシー,松永幹夫,175.0,497.0,-744.0,723.0,728.0,365.0,533.0,,2277.0,5.0
東京,10,14,リサリサ,田村康仁,524.0,-1290.0,-946.0,-473.0,982.0,576.0,-98.0,,-725.0,6.0
東京,11,1,ビヨンドザファザー,藤岡健一,440.0,-456.0,-271.0,-876.0,-25.0,259.0,,,-929.0,10.0
東京,11,2,ゼットリアン,吉田直弘,-33.0,391.0,1051.0,1183.0,529.0,-10.0,324.0,,3435.0,2.0
東京,11,3,キタノヴィジョン,萱野浩二,-1050.0,164.0,-1009.0,-939.0,-838.0,-1294.0,-308.0,,-5274.0,13.0
東京,11,4,ペリエール,黒岩陽一,789.0,130.0,-449.0,1002.0,364.0,120.0,889.0,,2845.0,3.0
東京,11,5,メイショウテンスイ,河内洋　,-28.0,11.0,364.0,185.0,-86.0,802.0,,,1248.0,6.0
東京,11,6,ドルチェモア,高橋一哉,,,,,,,,,,
東京,11,7,エルゲルージ,石坂公一,259.0,-677.0,612.0,-518.0,-37.0,4.0,-288.0,,-645.0,8.0
東京,11,8,サヴァ,上村洋行,92.0,485.0,-108.0,251.0,-393.0,538.0,475.0,,1340.0,5.0
東京,11,9,ペイシャエス,小西一男,-4.0,317.0,383.0,-531.0,-480.0,-434.0,35.0,,-714.0,9.0
東京,11,10,エンペラーワケア,杉山晴紀,369.0,606.0,565.0,803.0,647.0,901.0,185.0,,4076.0,1.0
東京,11,11,ショウナンライシン,大竹正博,159.0,-363.0,-801.0,-475.0,13.0,-83.0,,,-1550.0,11.0
東京,11,12,タマモロック,伊藤圭三,-1056.0,-320.0,-1372.0,-714.0,-1515.0,-1376.0,-602.0,,-6955.0,14.0
東京,11,13,カズペトシーン,池添学　,-15.0,172.0,1003.0,-580.0,786.0,-722.0,,,644.0,7.0
東京,11,14,サンライズホーク,牧浦充徳,8.0,201.0,-95.0,588.0,707.0,631.0,,,2040.0,4.0
東京,11,15,イーグルノワール,音無秀孝,-628.0,-424.0,-601.0,-704.0,-964.0,-1104.0,34.0,,-4391.0,12.0
東京,12,1,ホウオウシェリー,池上昌和,-48.0,510.0,355.0,-20.0,-770.0,674.0,405.0,,1106.0,6.0
東京,12,2,ジュドー,手塚貴久,929.0,-409.0,1021.0,-475.0,1216.0,745.0,-27.0,,3000.0,2.0
東京,12,3,アップストローク,杉浦宏昭,-168.0,-108.0,39.0,-544.0,1198.0,-70.0,,,347.0,7.0
東京,12,4,アップトゥミー,国枝栄　,145.0,74.0,-384.0,278.0,-699.0,-446.0,,,-1032.0,9.0
東京,12,5,ダイシンヤマト,戸田博文,-351.0,-906.0,-890.0,-158.0,-535.0,-1181.0,280.0,,-3741.0,12.0
東京,12,6,ピックアチェリー,和田正一,795.0,1247.0,2503.0,1498.0,1567.0,710.0,953.0,,9273.0,1.0
東京,12,7,サトノスカイターフ,池江泰寿,-128.0,-263.0,416.0,1314.0,296.0,194.0,212.0,,2041.0,5.0
東京,12,8,セフィロ,菊沢隆徳,-230.0,-963.0,318.0,-512.0,787.0,2.0,671.0,,73.0,8.0
東京,12,9,ヴルカーノ,稲垣幸雄,402.0,39.0,635.0,-703.0,888.0,974.0,-119.0,,2116.0,4.0
東京,12,10,マルチャン,武市康男,-17.0,-938.0,-537.0,-47.0,-1952.0,-89.0,,,-3580.0,11.0
東京,12,11,ポッドテオ,畠山吉宏,-240.0,-912.0,-303.0,341.0,-674.0,485.0,-149.0,,-1452.0,10.0
