場所,R,馬番,人気,単オッズ,複勝オッズ下,上,単勝,複勝,馬連配当,開催日,推定人気,人気ランク
中京,5,16,18.0,296.5,50.5,76.5,,,,20250105,,
中京,5,17,3.0,6.2,1.7,2.4,,170.0,,20250105,,
中京,5,18,1.0,3.1,1.4,1.8,,140.0,1100.0,20250105,,
中京,6,1,9.0,59.1,7.7,21.5,,,,20250105,,
中京,6,2,12.0,111.2,8.0,22.3,,,,20250105,,
中京,6,3,11.0,108.8,8.1,22.5,,,,20250105,,
中京,6,4,1.0,1.7,1.1,1.1,170.0,110.0,490.0,20250105,,
中京,6,5,10.0,90.5,7.4,20.6,,,,20250105,,
中京,6,6,15.0,266.3,22.9,65.5,,,,20250105,,
中京,6,7,5.0,13.4,2.2,5.4,,,,20250105,,
中京,6,8,2.0,5.1,1.5,3.3,,150.0,490.0,20250105,,
中京,6,9,14.0,247.0,21.0,60.1,,,,20250105,,
中京,6,10,6.0,19.4,3.2,8.3,,,,20250105,,
中京,6,11,13.0,204.3,21.0,60.0,,,,20250105,,
中京,6,12,8.0,57.1,8.2,22.9,,,,20250105,,
中京,6,13,4.0,10.9,1.8,4.3,,,,20250105,,
中京,6,14,3.0,6.4,1.6,3.7,,160.0,,20250105,,
中京,6,15,16.0,430.4,41.3,118.7,,,,20250105,,
中京,6,16,7.0,33.2,3.9,10.5,,,,20250105,,
中京,7,1,6.0,19.1,2.7,6.5,,,,20250105,,
中京,7,2,4.0,5.7,1.4,3.1,570.0,150.0,1960.0,20250105,,
中京,7,3,2.0,4.9,1.2,2.2,,,,20250105,,
中京,7,4,9.0,320.9,33.0,83.9,,,,20250105,,
中京,7,5,8.0,134.3,10.7,26.9,,,,20250105,,
中京,7,6,5.0,14.6,2.4,5.5,,,,20250105,,
中京,7,7,3.0,5.5,1.4,2.8,,150.0,1960.0,20250105,,
中京,7,8,7.0,22.1,2.6,6.1,,,,20250105,,
中京,7,9,1.0,1.9,1.1,1.1,,110.0,,20250105,,
